touch_date,entry_date,exit_date,direction,entry_price,sl_price,tp_price_ref,exit_price,sl_pips,tp_pips_estimated,result_pips,rr_ratio_estimated,rr_ratio_real,outcome,candles_away,candles_held,adx,plus_di,minus_di,rsi,atr
2025-03-03 12:00:00,2025-03-04 08:00:00,2025-03-04 12:00:00,SHORT,1.05211,1.05448,1.04558,1.05448,23.8,65.3,-23.8,2.75,1.0,LOSS,5,1,17.01,31.54,18.89,63.97,0.00297
2025-03-20 08:00:00,2025-03-20 16:00:00,2025-03-24 08:00:00,LONG,1.08213,1.07961,1.08905,1.0853,25.2,69.3,31.8,2.75,1.26,WIN,2,10,30.33,12.06,34.89,40.39,0.00315
2025-03-25 16:00:00,2025-03-27 00:00:00,2025-03-27 12:00:00,LONG,1.07372,1.07147,1.07992,1.07943,22.5,62.0,57.0,2.75,2.53,WIN,8,3,33.04,10.32,28.85,35.0,0.00282
2025-04-02 12:00:00,2025-04-02 16:00:00,2025-04-02 20:00:00,SHORT,1.08714,1.08942,1.08089,1.08942,22.7,62.6,-22.7,2.75,1.0,LOSS,1,1,18.83,26.78,16.63,63.26,0.00284
2025-04-03 00:00:00,2025-04-03 04:00:00,2025-04-03 08:00:00,SHORT,1.09083,1.09373,1.08283,1.09373,29.1,79.9,-29.1,2.75,1.0,LOSS,1,1,23.15,25.89,10.57,72.88,0.00363
2025-04-10 08:00:00,2025-04-10 16:00:00,2025-04-10 20:00:00,SHORT,1.11719,1.12283,1.10167,1.12283,56.4,155.2,-56.4,2.75,1.0,LOSS,2,1,19.16,33.82,13.34,68.02,0.00705
2025-04-16 00:00:00,2025-04-21 00:00:00,2025-04-21 04:00:00,SHORT,1.14764,1.1516,1.13674,1.1516,39.6,109.0,-39.6,2.75,1.0,LOSS,18,1,37.88,33.83,8.93,70.11,0.00496
2025-04-22 20:00:00,2025-04-23 00:00:00,2025-04-23 08:00:00,LONG,1.13236,1.12805,1.14423,1.14349,43.1,118.7,111.3,2.75,2.58,WIN,1,2,39.88,18.95,28.31,45.77,0.00539
2025-05-08 16:00:00,2025-05-08 20:00:00,2025-05-09 16:00:00,LONG,1.12159,1.11833,1.13057,1.12822,32.7,89.8,66.3,2.75,2.03,WIN,1,5,15.78,13.04,29.39,33.17,0.00408
2025-05-09 16:00:00,2025-05-12 00:00:00,2025-05-12 08:00:00,LONG,1.11898,1.11589,1.12748,1.11589,30.9,85.0,-30.9,2.75,1.0,LOSS,2,2,19.06,18.06,32.73,38.53,0.00386
2025-05-19 08:00:00,2025-05-19 12:00:00,2025-05-21 04:00:00,SHORT,1.12839,1.13144,1.11999,1.13144,30.5,83.9,-30.5,2.75,1.0,LOSS,1,10,16.69,35.08,17.63,60.29,0.00382
2025-05-23 00:00:00,2025-05-26 04:00:00,2025-05-27 08:00:00,SHORT,1.14061,1.14358,1.13247,1.13509,29.6,81.5,55.2,2.75,1.86,WIN,7,7,31.24,33.41,10.01,71.91,0.0037
2025-05-28 12:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,LONG,1.12429,1.12144,1.13211,1.12144,28.4,78.2,-28.4,2.75,1.0,LOSS,3,0,23.54,13.33,32.31,33.52,0.00355
2025-05-30 16:00:00,2025-06-02 08:00:00,2025-06-03 12:00:00,SHORT,1.14304,1.14606,1.13473,1.13824,30.2,83.0,48.0,2.75,1.59,WIN,4,7,15.46,29.22,16.61,64.19,0.00377
2025-06-04 12:00:00,2025-06-05 16:00:00,2025-06-06 08:00:00,SHORT,1.14813,1.1509,1.14049,1.14149,27.8,76.3,66.3,2.75,2.39,WIN,7,4,19.67,29.55,10.13,61.99,0.00347
2025-06-11 08:00:00,2025-06-12 00:00:00,2025-06-12 08:00:00,SHORT,1.15133,1.15395,1.14411,1.15395,26.2,72.1,-26.2,2.75,1.0,LOSS,4,2,17.93,30.25,12.2,71.84,0.00328
2025-06-23 16:00:00,2025-06-24 00:00:00,2025-06-24 16:00:00,SHORT,1.16025,1.16328,1.15192,1.16328,30.3,83.3,-30.3,2.75,1.0,LOSS,2,4,16.59,32.72,19.28,65.88,0.00379
2025-07-15 16:00:00,2025-07-15 20:00:00,2025-07-16 16:00:00,LONG,1.16079,1.1585,1.16708,1.1585,22.9,62.9,-22.9,2.75,1.0,LOSS,1,5,33.0,11.22,34.81,28.83,0.00286
2025-07-16 20:00:00,2025-07-17 12:00:00,2025-07-18 00:00:00,LONG,1.15596,1.15322,1.16349,1.16265,27.4,75.3,66.9,2.75,2.44,WIN,4,3,26.15,19.57,27.26,34.36,0.00342
2025-07-21 08:00:00,2025-07-21 16:00:00,2025-07-22 16:00:00,SHORT,1.17091,1.17345,1.1639,1.17345,25.5,70.1,-25.5,2.75,1.0,LOSS,2,6,21.68,36.0,13.79,64.29,0.00319
2025-07-28 08:00:00,2025-07-28 12:00:00,2025-07-28 16:00:00,LONG,1.16546,1.16295,1.17237,1.16295,25.1,69.1,-25.1,2.75,1.0,LOSS,1,1,29.23,18.24,33.89,37.13,0.00314
2025-08-01 12:00:00,2025-08-01 16:00:00,2025-08-05 08:00:00,SHORT,1.15861,1.16196,1.14939,1.15374,33.5,92.2,48.7,2.75,1.45,WIN,1,10,46.53,28.62,20.41,53.48,0.00419
2025-08-05 16:00:00,2025-08-06 16:00:00,2025-08-07 04:00:00,SHORT,1.16441,1.16719,1.15676,1.16719,27.8,76.4,-27.8,2.75,1.0,LOSS,6,3,21.92,29.04,13.22,66.37,0.00347
2025-08-12 16:00:00,2025-08-13 12:00:00,2025-08-14 08:00:00,SHORT,1.17254,1.17505,1.16564,1.16724,25.1,69.0,53.1,2.75,2.12,WIN,5,5,21.99,31.49,12.19,62.23,0.00314
2025-08-21 12:00:00,2025-08-22 04:00:00,2025-08-22 16:00:00,LONG,1.1583,1.15629,1.16385,1.16407,20.2,55.4,57.6,2.75,2.86,WIN,4,3,17.03,12.05,29.19,31.46,0.00252
2025-08-22 16:00:00,2025-08-22 20:00:00,2025-08-22 20:00:00,SHORT,1.17139,1.17378,1.16483,1.17378,23.9,65.6,-23.9,2.75,1.0,LOSS,1,0,21.56,36.9,17.15,64.99,0.00298
2025-09-05 00:00:00,2025-09-05 12:00:00,2025-09-05 16:00:00,SHORT,1.17287,1.17511,1.16668,1.17511,22.5,61.8,-22.5,2.75,1.0,LOSS,3,1,14.97,36.46,12.64,66.81,0.00281
2025-09-15 08:00:00,2025-09-16 08:00:00,2025-09-16 12:00:00,SHORT,1.1798,1.18175,1.17442,1.18175,19.6,53.8,-19.6,2.75,1.0,LOSS,6,1,17.82,28.56,11.22,70.68,0.00245
2025-09-24 08:00:00,2025-09-25 12:00:00,2025-09-25 16:00:00,LONG,1.17044,1.16836,1.17615,1.16836,20.8,57.2,-20.8,2.75,1.0,LOSS,7,1,21.27,14.93,35.57,31.41,0.0026
2025-10-06 08:00:00,2025-10-06 12:00:00,2025-10-06 16:00:00,LONG,1.16581,1.16353,1.17207,1.17199,22.8,62.7,61.8,2.75,2.71,WIN,1,1,14.72,13.85,29.19,40.48,0.00285
2025-10-06 16:00:00,2025-10-08 04:00:00,2025-10-08 08:00:00,LONG,1.16282,1.1607,1.16865,1.1607,21.2,58.3,-21.2,2.75,1.0,LOSS,9,1,23.21,12.81,35.42,28.39,0.00265
2025-10-14 16:00:00,2025-10-17 00:00:00,2025-10-17 08:00:00,SHORT,1.17016,1.17232,1.16423,1.17232,21.5,59.3,-21.5,2.75,1.0,LOSS,14,2,26.78,32.43,12.63,69.92,0.00269
